line_number,sent_id,is_reference
0,train-s6075,True
1,train-s6075,False
2,train-s6075,False
3,train-s6075,False
4,train-s6075,False
5,train-s6075,False
6,train-s2204,True
7,train-s3276,True
8,train-s3276,False
9,train-s3374,True
10,train-s3374,False
11,train-s3456,True
12,train-s3456,False
13,train-s4533,True
14,train-s4533,False
15,train-s4914,True
16,train-s4914,False
17,train-s4914,False
18,train-s4914,False
19,train-s4914,False
20,train-s4914,False
21,train-s4914,False
22,train-s4914,False
23,train-s4914,False
24,train-s4914,False
25,train-s4914,False
26,train-s4914,False
27,train-s4914,False
28,train-s4914,False
29,train-s4914,False
30,train-s4914,False
31,train-s4914,False
32,train-s4914,False
33,train-s4914,False
34,train-s4914,False
35,train-s4914,False
36,train-s4914,False
37,train-s4914,False
38,train-s4914,False
39,train-s5911,True
40,train-s5911,False
41,train-s5911,False
42,train-s5911,False
43,train-s5911,False
44,train-s5911,False
45,train-s5911,False
46,train-s5911,False
47,train-s5922,True
48,train-s5922,False
49,train-s5922,False
50,train-s5922,False
51,train-s5922,False
52,train-s5922,False
53,train-s5922,False
54,train-s5922,False
55,train-s5922,False
56,train-s5922,False
57,train-s5922,False
58,train-s5922,False
59,train-s5922,False
60,train-s5922,False
61,train-s5922,False
62,train-s5922,False
63,train-s5922,False
64,train-s5922,False
65,train-s5922,False
66,train-s5922,False
67,train-s5922,False
68,train-s5922,False
69,train-s5922,False
70,train-s5922,False
71,train-s6680,True
72,train-s6680,False
73,train-s6680,False
74,train-s6680,False
75,train-s6680,False
76,train-s6680,False
77,train-s6680,False
78,train-s6680,False
79,train-s6732,True
80,train-s6732,False
81,train-s6732,False
82,train-s6732,False
83,train-s6841,True
84,train-s6841,False
85,train-s6841,False
86,train-s6841,False
87,train-s6841,False
88,train-s6841,False
89,train-s6841,False
90,train-s6841,False
91,train-s6841,False
92,train-s6841,False
93,train-s6841,False
94,train-s6841,False
95,train-s6841,False
96,train-s6841,False
97,train-s6841,False
98,train-s6841,False
99,train-s6841,False
100,train-s6841,False
101,train-s6841,False
102,train-s6841,False
103,train-s6841,False
104,train-s6841,False
105,train-s6841,False
106,train-s6841,False
107,train-s8212,True
108,train-s8212,False
109,train-s8212,False
110,train-s8212,False
111,train-s10907,True
112,train-s10907,False
113,train-s10907,False
114,train-s10907,False
115,train-s10907,False
116,train-s10907,False
117,train-s12388,True
118,train-s12925,True
119,train-s12925,False
120,train-s12925,False
121,train-s12925,False
122,train-s12925,False
123,train-s12925,False
124,train-s13122,True
125,dev-s288,True
126,dev-s288,False
127,dev-s288,False
128,dev-s288,False
129,dev-s288,False
130,dev-s288,False
131,dev-s288,False
132,dev-s288,False
133,dev-s1311,True
134,dev-s1311,False
135,test-s403,True
136,test-s403,False
137,test-s403,False
138,test-s403,False
139,test-s403,False
140,test-s403,False
141,test-s415,True
142,test-s1470,True
143,test-s1470,False
144,test-s1470,False
145,test-s1470,False
146,test-s1470,False
147,test-s1470,False
148,test-s1470,False
149,test-s1470,False
150,test-s1470,False
151,test-s1470,False
152,test-s1470,False
153,test-s1470,False
154,test-s1470,False
155,test-s1470,False
156,test-s1470,False
157,test-s1470,False
158,test-s1470,False
159,test-s1470,False
160,test-s1470,False
161,test-s1470,False
162,train-s705,True
163,train-s705,False
164,train-s705,False
165,train-s705,False
166,train-s705,False
167,train-s705,False
168,train-s705,False
169,train-s705,False
170,train-s705,False
171,train-s705,False
172,train-s705,False
173,train-s705,False
174,train-s875,True
175,train-s875,False
