term	valence	arousal	dominance
"{0}"	-0.2240	-0.2740	0.0340
%	-0.3015	0.5912	0.3620
%s	0.8540	0.4400	0.6200
'menin'	-0.3440	0.1720	-0.5480
'muden'	0.0740	0.6670	0.5710
(	-0.2080	0.2700	0.0930
(c)	-0.3010	-0.0117	-0.1032
(और	-0.1195	-0.1343	-0.2502
(और)	0.0000	-0.9260	-0.1670
(ख़ुदा	-0.7500	0.5200	-0.2460
(ग़रज़)	0.6670	0.6670	0.2960
(तौक़	0.4580	0.5280	-0.1660
(ये	0.3890	-0.6300	-0.2220
(लंगा)	-0.2860	-0.2720	-0.3560
0	0.6485	0.1875	0.3330
15	-0.0200	-0.4200	-0.1140
1717	0.1700	-0.4080	-0.3580
19वीं	0.6190	-0.9260	-0.6670
20वाँ	0.5710	0.0000	0.6670
24-	0.7080	0.7410	0.6670
30	0.0000	-1.0000	0.0000
@	-0.3500	-0.5620	-0.5660
ACTCKS	0.1400	-0.3600	-0.1080
AVE	0.3540	-0.1700	0.4040
Afttable	-0.6670	0.5710	-0.8570
Afttttion	-0.6875	0.6460	0.9585
Alimap	-0.1200	-0.3800	-0.1920
Alirerमीटर	0.0000	0.6670	0.6670
Arolt	0.6670	0.5560	0.3750
Ascttion	-0.3760	0.7560	0.3200
Athrx	-0.6240	0.4600	0.0000
Averable	0.4160	-0.2620	0.2000
Aviviod	0.0000	0.2920	0.4620
Azantmon	-0.2040	-0.0420	0.0380
CHARE	0.1460	-0.0940	0.2300
CHAssassin	-0.0200	-0.2040	-0.1120
CLONACK	-0.4000	0.0000	-0.5840
CLONAND	-0.6670	-1.0000	-0.8330
COMPAND	-0.6670	0.6670	0.6670
COMPARE	-0.1800	-0.4280	-0.3720
COSARSE	-0.3880	-0.0740	-0.3080
COWCTAN	0.1040	-0.5680	-0.3460
CUCHAN(	0.2860	0.0620	-0.0380
Carcutor	-0.2700	0.5100	0.5180
Carukuperu.	-0.6670	0.6670	-0.6670
Caskuk	-0.4700	-0.0400	-0.5100
Cukake	-0.6190	0.8520	-0.5420
D-OWEND	-0.0940	-0.2360	-0.1560
DEKLLLLOGenericName	0.0000	0.6670	0.0420
DTAVEN(	-0.0940	-0.2180	-0.2760
Dako	0.3960	-0.3140	-0.2120
Db	-0.0420	-0.2600	-0.3120
Diz	0.1840	-0.6000	-0.1900
Dkk	0.0200	-0.1660	-0.1520
Dokabs	-0.3460	0.1740	-0.2680
Domuote	-0.1880	-0.0760	-0.1480
Doppp	0.0200	0.0200	-0.2720
Egrizi	-0.2040	0.3580	0.3140
FMS	0.0840	0.8320	-0.0560
FestivalVoiceName	-0.1343	-0.2477	-0.0863
GenericName	-0.6670	-0.6670	-0.7140
Goligligord	0.0000	0.0000	0.2920
INnje	-0.1880	0.4700	0.1920
Moltion	-0.4800	-0.1140	-0.1920
Neg	-0.4580	-0.0980	-0.0560
NetworkManager	0.0370	0.1144	0.1424
Niner	0.3460	-0.1400	0.2460
Nintiver	-0.6670	0.6250	0.6670
Pdck	0.0000	0.0000	0.0000
Prria.	-0.6670	0.6670	0.6670
SICKS	-0.3760	0.4320	-0.6660
SICTICKSICKS	-0.3330	-0.6670	0.2220
STANext	-0.0420	-0.2020	-0.1340
Sannitez	0.5000	0.4580	0.2920
Scavenger	-0.6460	0.1560	-0.1840
Scieng	-0.6300	0.6670	-0.2960
Secententent	0.6250	0.3750	0.3330
Smugly	-0.6670	-0.4810	-0.4170
T	0.0000	0.3520	0.1190
TACesesses	-0.2860	0.6670	0.5420
TAFax	0.0000	-0.0830	0.5710
TAN	0.0640	-0.2160	-0.0900
TANTsesses	0.1640	0.2920	0.3340
TATATCKRICKS	0.5190	-0.3330	0.2860
TAvavs	0.0000	0.6670	0.4290
TBIOGenericName	0.1110	0.5710	0.5560
TCONTon	0.2860	0.2820	-0.0540
TTATCKSENext	1.0000	0.1480	0.5830
Teleligigraphy	0.4580	0.5930	0.5930
Telipath	0.1575	0.2755	0.4755
Telpath	0.6670	0.4760	0.7410
Telponniviogram	0.0000	0.5830	0.0000
Tommery	-0.1900	0.6670	-0.6250
Tommol	-0.5000	0.6670	-0.6190
XImolialdiro	0.8570	0.6670	0.5190
Y	0.0000	0.5930	0.5420
[	-0.2310	-0.6400	-0.1565
_BAR_	0.0413	-0.6010	-0.2387
a	-1.0000	0.6670	0.6670
adominनियम	0.5240	-0.0740	0.0000
adrolial	-0.2040	-0.0280	-0.5400
aprogia.	-0.9260	-0.9170	-0.8100
arachoworway.	0.0370	0.0000	0.0370
arghorth.	0.0420	-0.1880	-0.2940
argnaghublic.	-0.1800	0.1880	-0.3280
arka	0.0000	0.0000	0.0370
arny	-0.7410	0.8100	-0.3330
arriraq.	0.0000	0.0000	0.0000
arrora.	0.6340	-0.3880	0.0740
arthddddddom:	0.6300	-0.6670	0.5240
braSmaseness	-0.5420	0.6110	-0.5000
brazil.	0.0000	0.0000	0.0420
cagnaz	0.3330	-0.6670	0.2500
carELLOGenericName	-0.1240	0.3640	-0.1220
carcienuche	0.0000	0.0000	0.0560
chddr	-0.1000	-0.1120	-0.1940
chort	0.6250	0.6670	0.2380
chughana.	-0.0620	-0.0620	0.1960
cinirengtoo.	0.5200	-0.0780	0.5380
clocivovalald	0.6670	0.1110	1.0000
com	-0.3330	-0.6670	-0.0830
comfy	0.8600	-0.5180	0.2500
commass	0.7080	-0.5930	0.5420
conf	0.1275	-0.6485	-0.2965
conf-	-0.1722	0.4545	0.2810
crecram	-0.1000	-0.0980	-0.0600
crevd	-0.3330	-0.9630	-0.3750
cumulative	0.6300	0.2960	0.2860
dalligance.	0.2080	0.6300	-0.3700
dankनेस	-0.7080	-0.6300	-0.3810
debones	0.9580	0.3330	0.5930
debrazil.	-0.5078	0.4932	0.2938
denk	-0.2200	-0.2380	-0.2340
devolution	-0.3100	-0.1320	-0.1500
dimmed	-0.5830	-0.9260	-0.4440
dker	-0.3330	0.6670	0.1670
dmel	0.0000	-0.2000	-0.2320
drenger	0.0000	0.5830	0.4440
drg	-0.6670	-0.8750	-0.7040
drski	-0.1430	-1.0000	-0.5830
dudrg	-0.6670	0.5190	-0.7410
dudrger	-0.6190	1.0000	-0.9170
dudri	-0.8120	0.0440	-0.6550
dyri	-0.4800	0.0560	-0.3100
earm	-0.0620	-0.3920	0.0180
ed	0.1805	0.0830	-0.0865
elीकरण	-0.8960	0.3340	-0.1380
esektable	0.6670	0.6670	-0.4440
eskline	-0.1020	0.0400	0.2260
fable	0.2500	0.0760	0.0900
ffAable	0.5560	-0.2590	0.0000
ffable	1.0000	-0.4810	-0.0950
ffriable	-0.2240	0.0360	-0.0900
fidy	-0.5420	0.5720	-0.2980
fliky	0.1670	-0.3810	-0.3700
fmmmable	-0.3330	0.2960	0.5190
fmmumable	-0.5680	0.6000	0.4300
franc	0.4200	-0.0980	0.2800
francs	0.0000	0.0000	0.3330
franser	0.6300	0.6670	0.7920
frapps	0.7220	0.3330	0.0000
frek	-0.0200	0.0940	-0.2460
frele	0.0840	-0.2080	-0.4920
freles	0.3330	0.0000	0.0000
friki	0.6670	1.0000	0.0370
fry	0.0400	0.2200	-0.3520
fryphip	-0.6670	-0.6670	-0.7500
fuiLLJAL	0.6670	-0.1250	0.0000
fyडी	0.0000	-0.1250	0.0000
gabble	-0.3890	0.6670	-0.6670
gah.	-0.3540	0.1140	-0.4440
gaily	0.7330	0.5930	0.0000
gaudy	0.3060	0.4700	0.4420
