unique_id,sent_id,variant_id,is_reference,construction_type,ref_construction_type,n_words,trigram_surprisal_per_word,lstm_surprisal_per_word,adaptive_surprisal_per_word,lex_rept_surprisal_per_word,dep_len_per_word,pcfg_surprisal_per_word
train-s2-ref,train-s2,0,1,DOSV,DOSV,7,2.1002,11.7318,11.7318,2.1002,1.5714,7.0985
train-s2-var1,train-s2,1,0,SOV,DOSV,7,10.3491,11.7318,11.7318,10.3491,1.2857,7.1468
train-s6-ref,train-s6,0,1,SOV,SOV,16,2.6596,9.7001,9.6415,2.8093,1.875,5.5565
train-s6-var1,train-s6,1,0,SOV,SOV,16,5.386,9.7278,9.6689,5.5356,2.125,5.7634
train-s6-var2,train-s6,2,0,DOSV,SOV,16,5.6436,9.7274,9.6684,5.7933,2.0,5.4684
train-s6-var3,train-s6,3,0,DOSV,SOV,16,5.5819,9.7273,9.6684,5.7315,2.375,5.5313
train-s6-var4,train-s6,4,0,SOV,SOV,16,4.6933,9.7326,9.674,4.843,2.5,5.9134
train-s6-var5,train-s6,5,0,DOSV,SOV,16,6.0632,9.7273,9.6684,6.2129,2.625,5.6416
train-s11-ref,train-s11,0,1,DOSV,DOSV,8,2.0002,11.4956,11.4371,2.1493,1.75,5.8508
train-s11-var1,train-s11,1,0,DOSV,DOSV,8,8.4973,11.4956,11.4371,8.6419,2.0,6.1672
train-s11-var2,train-s11,2,0,SOV,DOSV,8,8.4896,11.4956,11.4371,8.6387,1.5,5.6239
train-s11-var3,train-s11,3,0,SOV,DOSV,8,7.3016,11.4956,11.4371,7.4019,1.5,5.8315
train-s11-var4,train-s11,4,0,DOSV,DOSV,8,6.8557,11.4956,11.4371,7.0003,2.0,6.3552
train-s11-var5,train-s11,5,0,SOV,DOSV,8,9.1804,11.4956,11.4371,9.2807,1.75,6.056
train-s12-ref,train-s12,0,1,SOV,SOV,20,1.7326,11.1707,11.0956,1.8806,2.3,6.7485
train-s12-var1,train-s12,1,0,SOV,SOV,20,4.0191,11.1707,11.0956,3.8836,2.2,6.8224
train-s12-var2,train-s12,2,0,DOSV,SOV,20,3.2855,11.1705,11.0954,3.2854,2.9,6.6597
train-s12-var3,train-s12,3,0,DOSV,SOV,20,4.1502,11.1707,11.0956,4.1154,3.4,6.7465
train-s12-var4,train-s12,4,0,SOV,SOV,20,4.2024,11.1707,11.0956,4.3157,2.7,6.9542
train-s12-var5,train-s12,5,0,DOSV,SOV,20,4.7094,11.1705,11.0954,4.574,3.3,7.0154
train-s34-ref,train-s34,0,1,SOV,SOV,24,1.2887,11.3091,11.2533,1.4233,4.125,6.7696
train-s34-var1,train-s34,1,0,SOV,SOV,24,3.3809,11.3092,11.2534,3.4828,4.5417,6.6677
train-s34-var2,train-s34,2,0,DOSV,SOV,24,3.3806,11.3091,11.2533,3.5077,3.625,6.8117
train-s34-var3,train-s34,3,0,DOSV,SOV,24,3.1254,11.3091,11.2533,3.2272,3.5417,6.8631
train-s34-var4,train-s34,4,0,SOV,SOV,24,3.5315,11.3091,11.2533,3.6408,4.4583,6.717
train-s34-var5,train-s34,5,0,DOSV,SOV,24,4.0621,11.3092,11.2534,4.164,3.9583,6.7996
train-s34-var6,train-s34,6,0,SOV,SOV,24,2.2072,11.3091,11.2533,2.3343,4.125,6.8103
train-s34-var7,train-s34,7,0,SOV,SOV,24,3.4886,11.3092,11.2534,3.5905,4.5417,6.7142
train-s34-var8,train-s34,8,0,SOV,SOV,24,3.2788,11.3091,11.2533,3.4134,3.625,6.8529
train-s34-var9,train-s34,9,0,SOV,SOV,24,3.0236,11.3091,11.2533,3.133,3.5417,6.8738
train-s34-var10,train-s34,10,0,SOV,SOV,24,3.8173,11.3091,11.2533,3.9191,4.4583,6.7041
train-s34-var11,train-s34,11,0,SOV,SOV,24,4.1542,11.3092,11.2534,4.256,3.9583,6.7972
train-s34-var12,train-s34,12,0,DOSV,SOV,24,3.5256,11.3091,11.2533,3.6526,3.125,6.8615
train-s34-var13,train-s34,13,0,DOSV,SOV,24,4.2071,11.3091,11.2533,4.3089,3.0417,6.8954
train-s34-var14,train-s34,14,0,DOSV,SOV,24,3.5256,11.3091,11.2533,3.6526,3.125,6.8764
train-s34-var15,train-s34,15,0,DOSV,SOV,24,4.2071,11.3091,11.2533,4.3089,3.0417,6.8775
train-s34-var16,train-s34,16,0,DOSV,SOV,24,3.2704,11.3091,11.2533,3.3722,2.9583,6.9117
