model,full_accuracy,do_accuracy,io_accuracy,paper_full,paper_do,paper_io
a,52.71,51.69,51.48,51.84,53.88,50.92
b,61.76,59.29,59.96,62.31,68.49,58.91
c,89.23,75.2,89.13,86.86,65.9,78.86
d,91.92,82.26,92.22,90.07,77.33,85.07
e,92.21,83.0,92.05,91.18,78.95,87.29
f,90.27,76.08,86.52,94.01,79.55,87.28
g,90.48,76.25,88.03,94.06,79.97,88.32
base1,94.53,84.69,94.51,95.05,80.99,89.06
base1+g,94.62,84.81,94.69,95.06,81.06,89.65
base2,94.52,84.84,94.33,95.06,81.24,89.65
base2+g,94.62,84.87,94.65,95.09,81.42,89.8
